hour_of_day,day_of_week,is_weekend,is_night,location_type,incident_count_7d,incident_count_30d,lighting_score,crowd_density,safety_label
2,4,0,1,2,14,27,0.3476,0.3617,1
18,5,1,0,2,17,24,0.1028,0.7328,1
15,4,0,0,0,2,11,0.3021,0.7772,3
10,4,0,0,0,4,9,0.8067,0.7901,3
10,3,0,0,2,0,13,0.4935,0.7401,3
20,1,0,1,2,9,10,0.1716,0.2316,1
2,1,0,1,2,9,13,0.3126,0.2891,1
16,5,1,0,0,0,14,0.9536,0.942,3
4,0,0,1,2,13,20,0.432,0.5539,1
2,0,0,1,0,0,2,0.4416,0.7545,2
12,2,0,0,0,15,21,0.1531,0.5992,1
23,5,1,1,2,14,17,0.3046,0.9245,1
17,4,0,0,3,16,23,0.8147,0.8688,1
18,4,0,0,3,2,5,0.7862,0.2614,2
17,3,0,0,4,17,22,0.4355,0.8847,1
18,0,0,0,4,10,23,0.8937,0.3,3
12,2,0,0,1,17,18,0.3803,0.441,2
3,0,0,1,3,13,24,0.2593,0.8512,1
20,5,1,1,0,13,14,0.0316,0.324,1
10,5,1,0,4,0,6,0.3472,0.2908,3
12,1,0,0,1,13,23,0.8551,0.6687,2
8,2,0,0,3,8,22,0.9013,0.9997,2
4,2,0,1,4,16,19,0.7564,0.1311,1
22,6,1,1,3,13,13,0.201,0.7011,1
18,3,0,0,4,1,12,0.8155,0.527,3
15,5,1,0,0,17,30,0.7076,0.4106,2
9,3,0,0,0,1,9,0.2542,0.7499,3
19,4,0,0,3,5,5,0.4662,0.5548,1
13,3,0,0,2,4,11,0.6607,0.7978,3
10,1,0,0,0,19,24,0.5878,0.7439,1
10,6,1,0,3,3,9,0.8851,0.9851,2
5,4,0,0,0,16,16,0.4738,0.8109,2
2,5,1,1,4,4,8,0.178,0.0668,1
13,6,1,0,0,13,27,0.2146,0.7796,1
21,1,0,1,2,1,1,0.8461,0.6497,2
1,0,0,1,4,7,20,0.0087,0.0898,1
20,4,0,1,2,12,19,0.8691,0.6055,1
19,2,0,0,3,14,22,0.0556,0.7508,1
6,3,0,0,3,17,31,0.3917,0.1972,1
15,1,0,0,4,16,19,0.8002,0.4349,2
3,2,0,1,2,10,24,0.4076,0.5425,1
18,2,0,0,4,6,10,0.8223,0.4132,2
16,2,0,0,2,5,10,0.1003,0.876,2
8,5,1,0,4,19,25,0.5115,0.1689,1
1,4,0,1,3,12,21,0.1747,0.7716,1
23,3,0,1,0,18,22,0.8909,0.7781,1
10,0,0,0,3,8,19,0.0936,0.448,1
21,3,0,1,4,9,9,0.3386,0.5395,1
16,1,0,0,0,16,25,0.6593,0.1536,2
18,2,0,0,4,14,23,0.9799,0.1952,2
18,2,0,0,0,4,12,0.8483,0.5317,3
